product_category,product_image,product_image_url,product_name,product_price,product_url,site_name
bottom,z_4157,http://static.id.zalora.net/p/miyoshi-jeans-4157-7049002-4.jpg,Miyoshi My19Pa277Apk Medium Blue Denim Cropped Pant,197956,https://www.zalora.co.id/miyoshi-jeans-miyoshi-my19pa277apk-medium-blue-denim-cropped-pant-blue-2009407.html,Zalora
bottom,z_2933,http://static.id.zalora.net/p/denim-addict-2933-4796802-4.jpg,Women Slim Fit Denim Pants With Zipped Pocket,179000,https://www.zalora.co.id/denim-addict-women-slim-fit-denim-pants-with-zipped-pocket-blue-2086974.html,Zalora
bottom,z_0774102,http://static.id.zalora.net/p/mango-0807-0774102-4.jpg,Crop Flared Jeans,499000,https://www.zalora.co.id/mango-crop-flared-jeans-brown-2014770.html,Zalora
bottom,z_6830922,http://static.id.zalora.net/p/mango-2791-6830922-4.jpg,Buttons Flare Jeans,499000,https://www.zalora.co.id/mango-buttons-flare-jeans-white-2290386.html,Zalora
bottom,z_6129622,http://static.id.zalora.net/p/mango-3499-6129622-4.jpg,Slouchy Regina Jeans,699000,https://www.zalora.co.id/mango-slouchy-regina-jeans-blue-2269216.html,Zalora
bottom,z_4067322,http://static.id.zalora.net/p/mango-1176-4067322-4.jpg,Crop Slim-Fit Grace Jeans,599000,https://www.zalora.co.id/mango-crop-slim-fit-grace-jeans-blue-2237604.html,Zalora
bottom,z_8671,http://static.id.zalora.net/p/dust-jeans-8671-2320412-4.jpg,3605 High Rise Jeans,274450,https://www.zalora.co.id/dust-jeans-3605-high-rise-jeans-navy-2140232.html,Zalora
bottom,z_8707512,http://static.id.zalora.net/p/spyderbilt-2476-8707512-4.jpg,Wanaka Ladies Pants Denim,440000,https://www.zalora.co.id/spyderbilt-wanaka-ladies-pants-denim-black-2157078.html,Zalora
bottom,z_5721,http://static.id.zalora.net/p/tripl3-jeans-5721-5196322-4.jpg,Celana Jeans Wanita Slim Fit,230000,https://www.zalora.co.id/tripl3-jeans-celana-jeans-wanita-slim-fit-black-2236915.html,Zalora
bottom,z_7502,http://static.id.zalora.net/p/lois-jeans-7502-2747532-1.jpg,Capri Denim Pant FTC267E,359600,https://www.zalora.co.id/lois-jeans-capri-denim-pant-ftc267e-blue-2357472.html,Zalora
bottom,z_4370,http://static.id.zalora.net/p/lois-jeans-4370-8747532-1.jpg,Capri Denim Pant FTC269,391600,https://www.zalora.co.id/lois-jeans-capri-denim-pant-ftc269-blue-2357478.html,Zalora
bottom,z_6546912,http://static.id.zalora.net/p/rodeo-8206-6546912-4.jpg,Tregging,166455,https://www.zalora.co.id/rodeo-tregging-navy-2196456.html,Zalora
bottom,z_3291,http://static.id.zalora.net/p/logo-jeans-3291-7874541-4.jpg,Boyfriend 75 Series,229954,https://www.zalora.co.id/logo-jeans-boyfriend-75-series-navy-1454787.html,Zalora
bottom,z_4879212,http://static.id.zalora.net/p/zalora-1710-4879212-4.jpg,Relaxed Cuffed Jeans With Rope Belt,339000,https://www.zalora.co.id/zalora-relaxed-cuffed-jeans-with-rope-belt-blue-2129784.html,Zalora
bottom,z_5706191,http://static.id.zalora.net/p/morphidae-9783-5706191-4.jpg,Adrina,200000,https://www.zalora.co.id/morphidae-adrina-blue-1916075.html,Zalora
bottom,z_0529332,http://static.id.zalora.net/p/insight-8830-0529332-1.jpg,Put Teeh Pants,799000,https://www.zalora.co.id/insight-put-teeh-pants-blue-2339250.html,Zalora
bottom,z_8551,http://static.id.zalora.net/p/hush-puppies-8551-1968332-1.jpg,Tatum,359400,https://www.zalora.co.id/hush-puppies-tatum-blue-2338691.html,Zalora
bottom,z_5682,http://static.id.zalora.net/p/hush-puppies-5682-1768332-1.jpg,Orlyan,359400,https://www.zalora.co.id/hush-puppies-orlyan-blue-2338671.html,Zalora
bottom,z_8546,http://static.id.zalora.net/p/hush-puppies-8546-9817512-4.jpg,Yara,299500,https://www.zalora.co.id/hush-puppies-yara-navy-2157189.html,Zalora
bottom,z_2777512,http://static.id.zalora.net/p/morphidae-4622-2777512-4.jpg,SURI MPD,252450,https://www.zalora.co.id/morphidae-suri-mpd-blue-2157772.html,Zalora
